order_id,date,product,category,rating
1000,3/23/2025,Cookbook,Books,3.8
1001,6/17/2025,Basketball,Sports,3.9
1002,4/26/2025,Jeans,Clothing,4.4
1003,10/12/2025,Science Fiction,Books,3.9
1004,10/3/2025,Board Game,Toys,3.3
1005,9/14/2025,Coffee Maker,Home & Kitchen,4.1
1006,2/5/2025,Perfume,Beauty,4.9
1007,8/15/2025,Football,Sports,3.7
1008,9/21/2025,Biography,Books,3.4
1009,7/17/2025,Foundation,Beauty,4.6
1010,9/5/2025,Smartphone,Electronics,3.2
1011,12/8/2025,Jacket,Clothing,3.4
1012,2/9/2025,Puzzle,Toys,2.8
1013,3/21/2025,Puzzle,Toys,3.2
1014,9/21/2025,Action Figure,Toys,2.7
1015,3/22/2025,Board Game,Toys,3.5
1016,10/2/2025,Puzzle,Toys,4.3
1017,1/21/2025,Smartphone,Electronics,4.1
1018,10/14/2025,Biography,Books,3.5
1019,11/18/2025,Smartwatch,Electronics,4.2
1020,4/26/2025,Self-Help,Books,4.2
1021,8/3/2025,Toaster,Home & Kitchen,3.8
1022,7/16/2025,Sneakers,Clothing,3.9
1023,3/11/2025,Science Fiction,Books,4.4
1024,7/5/2025,Cookbook,Books,4
1025,2/11/2025,RC Car,Toys,4.1
1026,8/8/2025,Headphones,Electronics,2.6
1027,7/28/2025,Headphones,Electronics,3.5
1028,6/19/2025,Jeans,Clothing,3.9
1029,8/17/2025,Jeans,Clothing,3.9
1030,1/3/2025,Self-Help,Books,4.8
1031,4/7/2025,Doll,Toys,3.3
1032,5/16/2025,Smartphone,Electronics,3.4
1033,5/18/2025,Moisturizer,Beauty,3
1034,3/9/2025,Smartwatch,Electronics,3.9
1035,6/2/2025,Moisturizer,Beauty,2.6
1036,4/12/2025,RC Car,Toys,3.2
1037,9/15/2025,Smartwatch,Electronics,4.1
1038,11/20/2025,Science Fiction,Books,2.5
1039,6/26/2025,Smartwatch,Electronics,4.9
1040,3/7/2025,Puzzle,Toys,3.4
1041,1/2/2025,Vacuum Cleaner,Home & Kitchen,3.2
1042,8/17/2025,Tennis Racket,Sports,3.8
1043,3/11/2025,RC Car,Toys,4.7
1044,7/20/2025,Biography,Books,4
1045,6/17/2025,Science Fiction,Books,4.3
1046,12/19/2025,Doll,Toys,2.2
1047,6/11/2025,Lipstick,Beauty,3.8
1048,5/26/2025,Vacuum Cleaner,Home & Kitchen,4.6
1049,10/16/2025,Lipstick,Beauty,3.1
1050,10/8/2025,Running Shoes,Sports,3.9
1051,3/17/2025,Doll,Toys,3.5
1052,3/27/2025,Doll,Toys,3.7
1053,12/4/2025,Tablet,Electronics,3.8
1054,7/5/2025,Toaster,Home & Kitchen,2.7
1055,9/25/2025,Sneakers,Clothing,3.4
1056,12/5/2025,Blender,Home & Kitchen,3.1
1057,11/16/2024,Puzzle,Toys,3.1
1058,8/18/2024,Biography,Books,2.4
1059,10/16/2024,Cookbook,Books,3.8
1060,9/10/2024,Jacket,Clothing,1.9
1061,12/7/2024,Cookbook,Books,3.8
1062,8/12/2024,Toaster,Home & Kitchen,3.2
1063,5/4/2024,Eyeliner,Beauty,3.3
1064,7/27/2024,Doll,Toys,2.4
1065,5/2/2024,Foundation,Beauty,2.2
1066,6/15/2024,Football,Sports,3.6
1067,4/7/2024,Yoga Mat,Sports,4.3
1068,12/9/2024,Science Fiction,Books,1.5
1069,4/8/2024,RC Car,Toys,1.2
1070,11/8/2024,Board Game,Toys,1.2
1071,12/16/2024,Toaster,Home & Kitchen,1.4
1072,1/18/2024,Foundation,Beauty,4.9
1073,11/16/2024,Sneakers,Clothing,2.9
1074,6/10/2024,Jacket,Clothing,3.6
1075,11/19/2024,Lipstick,Beauty,1.9
1076,3/14/2024,Football,Sports,4.5
1077,7/26/2024,T-Shirt,Clothing,3
1078,1/1/2024,Tennis Racket,Sports,2.2
1079,6/10/2024,Action Figure,Toys,2.8
1080,9/16/2024,Running Shoes,Sports,4.6
1081,8/9/2024,Sweater,Clothing,1.8
1082,3/24/2024,Headphones,Electronics,2.8
