order_id,order_value
1,38.16
2,190.61
3,89.0
4,64.78
5,20.18
6,20.18
7,13.59
8,130.67
9,65.14
10,83.88
11,11.25
12,220.21
13,117.19
14,24.32
15,22.04
16,22.16
17,31.77
18,54.64
19,43.93
20,30.65
21,66.78
22,19.01
23,30.73
24,37.38
25,46.54
26,102.28
27,23.36
28,53.32
29,63.85
30,12.85
31,66.12
32,21.22
33,14.04
34,188.42
35,212.24
36,109.14
37,31.8
38,16.17
39,79.17
40,44.81
41,17.81
42,51.01
43,12.1
44,154.03
45,27.97
46,75.18
47,32.41
48,54.05
49,57.47
50,22.26
51,219.57
52,99.53
53,178.31
54,145.13
55,64.66
56,162.97
57,15.56
58,23.09
59,12.78
60,33.61
61,39.53
62,28.99
63,115.87
64,36.47
65,29.79
66,56.94
67,19.11
68,107.23
69,14.65
70,270.05
71,98.77
72,23.29
73,10.33
74,111.39
75,83.63
76,88.34
77,98.51
78,14.62
79,36.63
80,17.39
81,129.31
82,68.58
83,34.11
84,13.94
85,32.35
86,33.6
87,88.47
88,70.89
89,140.94
90,48.34
91,17.64
92,84.95
93,95.82
94,59.43
95,98.43
96,50.85
97,54.38
98,43.47
99,11.54
100,16.85
101,11.92
102,70.7
103,32.64
104,52.63
105,152.88
106,27.2
107,41.7
108,94.52
109,25.59
110,14.81
111,30.53
112,20.55
113,169.3
114,109.05
115,70.21
116,133.09
117,107.68
118,22.39
119,143.85
120,56.51
121,108.84
122,145.85
123,32.96
124,17.0
125,25.52
126,43.42
127,112.23
128,128.28
129,10.42
130,52.89
131,42.42
132,25.07
133,17.66
134,34.71
135,181.79
136,33.42
137,53.89
138,82.85
139,37.12
140,224.07
141,206.92
142,27.4
143,51.26
144,31.48
145,30.11
146,12.26
147,66.43
148,51.91
149,13.17
150,29.6
151,153.33
152,26.43
153,19.39
154,50.34
155,264.64
156,26.63
157,76.91
158,96.03
159,26.28
160,88.16
161,37.51
162,70.03
163,70.23
164,56.04
165,15.68
166,118.22
167,33.21
168,22.39
169,12.5
170,63.63
171,77.91
172,11.0
173,53.06
174,25.41
175,72.17
176,21.5
177,80.45
178,39.34
179,175.62
180,18.88
181,35.03
182,17.23
183,165.17
184,135.9
185,27.9
186,74.73
187,111.97
188,58.61
189,55.26
190,26.61
191,15.86
192,146.51
193,148.41
194,70.16
195,34.84
196,35.77
197,87.67
198,146.45
199,140.87
200,100.81
201,71.64
202,15.27
203,20.58
204,147.29
205,65.95
206,10.55
207,16.42
208,75.35
209,10.3
210,20.52
211,57.74
212,80.64
213,73.33
214,25.24
215,84.73
216,26.25
217,33.62
218,92.34
219,72.93
220,123.52
221,74.31
222,60.4
223,15.9
224,37.5
225,28.49
226,26.78
227,226.74
228,39.96
229,143.56
230,69.84
231,105.03
232,51.91
233,61.61
234,50.7
235,23.03
236,86.91
237,29.77
238,11.48
239,72.22
240,21.7
241,179.26
242,194.65
243,157.81
244,37.74
245,10.93
246,168.13
247,43.54
248,214.05
249,208.82
250,125.04
251,30.93
252,39.18
253,124.28
254,32.87
255,21.14
256,58.82
257,175.08
258,81.45
259,60.65
260,16.13
261,67.27
262,286.63
263,19.06
264,53.83
265,135.92
266,91.0
267,81.64
268,82.74
269,36.73
270,30.85
271,109.44
272,109.68
273,131.08
274,156.68
275,52.97
276,51.77
277,106.06
278,72.98
279,82.63
280,105.32
281,142.44
282,34.75
283,38.26
284,15.92
285,61.8
286,12.2
287,47.6
288,56.94
289,30.26
290,63.62
291,11.86
292,12.28
293,113.76
294,36.8
295,18.15
296,54.32
297,98.18
298,24.59
299,68.51
300,15.35
