product,price
Apple MacBook Air M2,1199
Dell XPS 13,999
Samsung Galaxy S23,899
iPhone 14 Pro,1099
Sony WH-1000XM5 Headphones,399
Apple Watch Series 8,499
GoPro Hero 11,449
Amazon Kindle Paperwhite,139
Bose QuietComfort Earbuds II,279
Dyson V15 Detect Vacuum,699
Nespresso Vertuo Plus Coffee Machine,159
LG OLED C2 55-inch TV,1499
Sony PlayStation 5,499
Microsoft Xbox Series X,499
NVIDIA GeForce RTX 4090,1599
Samsung 49” Odyssey G9 Monitor,1399
Google Nest Learning Thermostat,249
Logitech MX Master 3S Mouse,99
Razer Huntsman Mini Keyboard,129
ASUS ROG Zephyrus G14 Gaming Laptop,1599
DJI Mini 3 Pro Drone,749
Anker PowerCore 26800mAh Power Bank,79
Eero Pro 6 Mesh Wi-Fi System,299
Breville Barista Express Espresso Machine,699
Philips Hue Smart Light Starter Kit,199
Echo Show 10 (3rd Gen),249
Apple iPad Pro 12.9-inch (M2),1299
Samsung Galaxy Tab S8 Ultra,1099
Corsair K95 RGB Mechanical Keyboard,199
Garmin Forerunner 955 Smartwatch,599
HP Spectre x360,1299
Lenovo ThinkPad X1 Carbon,1499
Google Pixel 7 Pro,899
OnePlus 11 5G,799
Jabra Elite 85t,199
Fitbit Charge 5,179
Canon EOS R5,3899
Samsung Galaxy Watch 5,349
Sonos Arc Soundbar,999
Shark AI Robot Vacuum,599
Keurig K-Supreme Plus,189
Panasonic Lumix GH6,1999
Oculus Quest 2,299
AMD Ryzen 9 7950X,699
Intel Core i9-13900K,749
LG UltraGear 32-inch Gaming Monitor,899
Arlo Pro 4 Security Camera,249
SteelSeries Aerox 5 Wireless Mouse,159
HyperX Cloud Alpha Wireless,179
Razer BlackWidow V4 Pro,199
MSI Raider GE78HX Gaming Laptop,2699
DJI Air 2S Drone,999
Belkin BoostCharge Pro MagSafe,99
Netgear Orbi AX6000 Wi-Fi 6 System,599
De'Longhi Dedica Espresso Machine,349
Govee Smart LED Light Bars,79
Samsung Smart Monitor M8,599
Asus ROG Swift OLED PG42UQ,1399
Razer Basilisk V3 Pro Mouse,159
Casio G-Shock GMW-B5000D-1 Watch,499
