Order_ID,Customer_Name,Product,Quantity,Price,Order_Date,Customer_Review
1001,James,Webcam,3.0,59.99,2024-01-01,nan
1002,Sophia,Laptop,3.0,79.99,2024-01-02,nan
1003,Michael,Monitor,2.0,79.99,2024-01-03,nan
1004,James,Monitor,2.0,59.99,2024-01-04,nan
1005,John,Keyboard,2.0,149.99,2024-01-05,Good
1006,Isabella,,,79.99,2024-01-06,nan
1007,Michael,Webcam,4.0,199.99,2024-01-07,nan
1008,Michael,Monitor,1.0,,2024-01-08,nan
1009,James,Webcam,1.0,249.99,2024-01-09,nan
1010,Emily,Headphones,3.0,499.99,2024-01-10,nan
1011,John,Mouse,2.0,79.99,2024-01-11,nan
1012,James,Smartphone,4.0,149.99,2024-01-12,Excellent
1013,John,Smartwatch,3.0,59.99,2024-01-13,nan
1014,John,Charger,1.0,59.99,2024-01-14,nan
1015,Isabella,,2.0,149.99,2024-01-15,nan
1016,Michael,Mouse,3.0,,2024-01-16,nan
1017,Sophia,Monitor,2.0,29.99,2024-01-17,Good
1018,Isabella,Smartwatch,3.0,499.99,2024-01-18,Poor
1019,Isabella,Webcam,2.0,59.99,2024-01-19,nan
1020,John,Charger,1.0,79.99,2024-01-20,nan
1021,Olivia,Webcam,4.0,,2024-01-21,nan
1022,Michael,Laptop,,79.99,2024-01-22,nan
1023,Emily,Laptop,4.0,99.99,2024-01-23,nan
1024,Isabella,Charger,2.0,199.99,2024-01-24,nan
1025,Sophia,Charger,3.0,499.99,2024-01-25,nan
1026,Olivia,Monitor,1.0,249.99,2024-01-26,nan
1027,Olivia,Charger,4.0,59.99,2024-01-27,Good
1028,,Headphones,,499.99,2024-01-28,nan
1029,Isabella,Webcam,4.0,499.99,2024-01-29,Fair
1030,Sophia,Mouse,1.0,499.99,2024-01-30,nan
1031,Michael,Tablet,4.0,29.99,2024-01-31,Poor
1032,Alex,Charger,4.0,499.99,2024-02-01,nan
1033,Sophia,Keyboard,2.0,79.99,2024-02-02,nan
1034,Emily,Laptop,4.0,199.99,2024-02-03,nan
1035,Olivia,Headphones,2.0,99.99,2024-02-04,nan
1036,Michael,Smartwatch,4.0,149.99,2024-02-05,nan
1037,Sophia,Tablet,3.0,499.99,2024-02-06,nan
1038,Alex,Mouse,,59.99,2024-02-07,nan
1039,Alex,Tablet,3.0,499.99,2024-02-08,Excellent
1040,John,Charger,4.0,59.99,2024-02-09,nan
1041,John,Monitor,2.0,79.99,2024-02-10,nan
1042,James,Laptop,2.0,59.99,2024-02-11,nan
1043,Emily,,4.0,249.99,2024-02-12,nan
1044,Isabella,,3.0,149.99,2024-02-13,Fair
1045,Sophia,,3.0,199.99,2024-02-14,Good
1046,,Webcam,2.0,59.99,2024-02-15,nan
1047,Isabella,Smartphone,3.0,59.99,2024-02-16,nan
1048,James,Headphones,1.0,199.99,2024-02-17,nan
1049,Olivia,Laptop,2.0,,2024-02-18,nan
1050,Olivia,Keyboard,3.0,499.99,2024-02-19,Good
1051,James,Laptop,2.0,,2024-02-20,nan
1052,Olivia,Tablet,1.0,199.99,2024-02-21,nan
1053,John,Laptop,2.0,249.99,2024-02-22,Poor
1054,Sophia,Laptop,2.0,249.99,2024-02-23,nan
1055,James,Smartphone,2.0,79.99,2024-02-24,nan
1056,Sophia,Smartphone,2.0,199.99,2024-02-25,nan
1057,,Mouse,1.0,79.99,2024-02-26,nan
1058,Alex,Webcam,4.0,249.99,2024-02-27,nan
1059,John,Keyboard,2.0,149.99,2024-02-28,nan
1060,Michael,Laptop,2.0,499.99,2024-02-29,nan
1061,John,Laptop,3.0,199.99,2024-03-01,nan
1062,James,Headphones,2.0,99.99,2024-03-02,nan
1063,Michael,Smartphone,3.0,249.99,2024-03-03,Good
1064,Alex,Keyboard,4.0,249.99,2024-03-04,Excellent
1065,James,Smartwatch,1.0,99.99,2024-03-05,Fair
1066,Emily,Mouse,1.0,29.99,2024-03-06,Excellent
1067,Sophia,Webcam,4.0,249.99,2024-03-07,Good
1068,Alex,Monitor,1.0,59.99,2024-03-08,nan
1069,Sophia,Webcam,4.0,149.99,2024-03-09,nan
1070,Olivia,,4.0,199.99,2024-03-10,nan
1071,Emily,Laptop,4.0,99.99,2024-03-11,nan
1072,Emily,Mouse,1.0,59.99,2024-03-12,nan
1073,Alex,Tablet,3.0,99.99,2024-03-13,nan
