category,order_value,name
Clothing,87.81,Hooded Sweatshirt
Toys,119.13,Building Blocks Set
Books,57.77,Data Science Essentials
Home,170.07,Wall Clock
Electronics,149.55,Wireless Headphones
Electronics,396.25,Smartwatch Fit+2
Electronics,202.58,Smartphone X200
Books,62.97,Modern Fiction Tales
Home,193.36,Ceramic Vase
Books,52.34,The Art of Python
Electronics,272.65,Wireless Headphones
Toys,110.46,Remote Control Car
Books,52.58,Data Science Essentials
Electronics,336.62,4K Ultra TV
Electronics,386.08,Smartwatch Fit+2
Electronics,228.34,Wireless Headphones
Clothing,81.24,Slim Fit Jeans
Home,94.02,Ceramic Vase
Clothing,69.78,Hooded Sweatshirt
Clothing,98.49,Cotton T-Shirt
Home,171.88,Wall Clock
Electronics,437.89,Smartphone X200
Clothing,73.62,Slim Fit Jeans
Clothing,92.56,Slim Fit Jeans
Clothing,67.05,Leather Jacket
Books,44.12,Historical Journeys
Electronics,351.43,Bluetooth Speaker Pro
Home,150.22,Silk Curtains
Home,77.19,Ceramic Vase
Electronics,329.39,Wireless Headphones
Home,115.13,Ceramic Vase
Electronics,250.95,Bluetooth Speaker Pro
Electronics,337.91,Bluetooth Speaker Pro
Toys,103.06,Action Hero Figure
Toys,140.39,Plush Bear
Books,61.83,Modern Fiction Tales
Clothing,86.27,Leather Jacket
Electronics,204.03,Smartphone X200
Home,171.6,Modern Lamp
Clothing,68.18,Cotton T-Shirt
Electronics,317.48,4K Ultra TV
Clothing,81.11,Summer Dress
Electronics,352.69,Bluetooth Speaker Pro
Toys,88.96,Action Hero Figure
Clothing,84.03,Summer Dress
Home,143.12,Silk Curtains
Clothing,98.01,Cotton T-Shirt
Home,43.33,Ceramic Vase
Home,96.48,Ceramic Vase
Electronics,282.45,Smartphone X200
Toys,60.07,Building Blocks Set
Books,39.97,Data Science Essentials
Toys,76.12,Plush Bear
Books,50.88,Historical Journeys
Home,124.5,Modern Lamp
Toys,118.01,Kids Puzzle 100pc
Electronics,352.48,Smartphone X200
Electronics,204.91,Smartwatch Fit+2
Electronics,277.08,4K Ultra TV
Clothing,91.22,Hooded Sweatshirt
Clothing,128.15,Summer Dress
Clothing,82.32,Hooded Sweatshirt
Books,50.08,Modern Fiction Tales
Clothing,80.01,Cotton T-Shirt
Clothing,96.38,Hooded Sweatshirt
Home,149.18,Ceramic Vase
Electronics,363.5,Wireless Headphones
Books,45.45,Modern Fiction Tales
Electronics,342.48,Smartphone X200
Toys,81.87,Remote Control Car
Books,46.77,Mystery of the Mind
Electronics,292.81,Smartwatch Fit+2
Electronics,189.18,4K Ultra TV
Books,48.38,Historical Journeys
Books,65.45,Data Science Essentials
Books,66.4,Historical Journeys
Books,22.96,Mystery of the Mind
Electronics,176.88,Wireless Headphones
Clothing,101.2,Summer Dress
Electronics,251.31,Wireless Headphones
Books,45.84,Data Science Essentials
Home,143.79,Wall Clock
Clothing,69.74,Leather Jacket
Electronics,361.31,Wireless Headphones
Clothing,85.54,Cotton T-Shirt
Clothing,121.71,Leather Jacket
Books,65.92,Historical Journeys
Home,190.86,Silk Curtains
Books,25.72,The Art of Python
Clothing,97.89,Slim Fit Jeans
Electronics,383.18,Wireless Headphones
Books,41.5,Data Science Essentials
Books,48.54,The Art of Python
Home,136.61,Modern Lamp
Books,51.57,The Art of Python
Clothing,75.53,Summer Dress
Home,137.39,Ceramic Vase
Clothing,112.78,Summer Dress
Electronics,133.84,4K Ultra TV
Electronics,365.07,Smartphone X200
Electronics,235.56,4K Ultra TV
Home,91.4,Silk Curtains
Clothing,96.72,Cotton T-Shirt
Home,54.97,Wooden Chair
Toys,72.14,Building Blocks Set
Electronics,397.0,Smartwatch Fit+2
Clothing,100.82,Hooded Sweatshirt
Books,54.85,Data Science Essentials
Electronics,325.04,Wireless Headphones
Electronics,430.18,Smartphone X200
Clothing,80.94,Summer Dress
Electronics,285.04,Smartphone X200
Toys,64.32,Action Hero Figure
Books,31.35,Historical Journeys
Home,167.85,Modern Lamp
Books,34.25,Mystery of the Mind
Books,61.17,Data Science Essentials
Electronics,287.62,Smartphone X200
Books,50.81,Historical Journeys
Home,93.61,Silk Curtains
Books,61.26,Modern Fiction Tales
Books,59.58,Historical Journeys
Clothing,41.07,Slim Fit Jeans
Electronics,345.46,Wireless Headphones
Electronics,364.2,Wireless Headphones
Clothing,49.8,Hooded Sweatshirt
Books,68.66,Modern Fiction Tales
Books,50.14,Historical Journeys
Electronics,254.82,Bluetooth Speaker Pro
Home,177.74,Silk Curtains
Clothing,111.21,Summer Dress
Electronics,315.13,4K Ultra TV
Electronics,245.63,Bluetooth Speaker Pro
Clothing,121.34,Hooded Sweatshirt
Toys,84.81,Building Blocks Set
Clothing,66.01,Cotton T-Shirt
Home,109.07,Modern Lamp
Books,50.87,The Art of Python
Clothing,70.4,Hooded Sweatshirt
Toys,114.71,Plush Bear
Toys,134.83,Building Blocks Set
Clothing,28.33,Hooded Sweatshirt
Clothing,36.39,Hooded Sweatshirt
Clothing,75.75,Slim Fit Jeans
Clothing,87.35,Cotton T-Shirt
Electronics,204.75,Wireless Headphones
Home,125.33,Modern Lamp
Home,180.47,Wall Clock
Electronics,263.06,Smartwatch Fit+2
Clothing,96.8,Slim Fit Jeans
Toys,84.62,Plush Bear
Electronics,331.49,4K Ultra TV
Electronics,275.25,Smartwatch Fit+2
Clothing,63.44,Cotton T-Shirt
Toys,169.8,Building Blocks Set
Electronics,226.44,Bluetooth Speaker Pro
Home,131.54,Silk Curtains
Books,71.98,Modern Fiction Tales
Electronics,429.52,Bluetooth Speaker Pro
Books,61.4,Historical Journeys
Clothing,91.8,Hooded Sweatshirt
Home,165.16,Modern Lamp
Home,103.64,Modern Lamp
Home,119.9,Modern Lamp
Electronics,282.83,Smartwatch Fit+2
Books,68.42,Modern Fiction Tales
Clothing,103.16,Summer Dress
Electronics,457.77,Bluetooth Speaker Pro
Electronics,249.0,Smartphone X200
Home,103.18,Wooden Chair
Home,204.56,Ceramic Vase
Electronics,257.76,Bluetooth Speaker Pro
Home,120.32,Ceramic Vase
Electronics,391.75,Wireless Headphones
Home,239.48,Wooden Chair
Electronics,408.09,Smartwatch Fit+2
Home,158.58,Modern Lamp
Clothing,80.11,Cotton T-Shirt
Toys,128.63,Remote Control Car
Electronics,189.13,Bluetooth Speaker Pro
Clothing,62.5,Summer Dress
Electronics,181.02,Wireless Headphones
Toys,120.83,Remote Control Car
Books,46.27,Modern Fiction Tales
Clothing,77.52,Slim Fit Jeans
Home,139.17,Wall Clock
Books,37.54,Mystery of the Mind
Home,129.17,Modern Lamp
Home,164.3,Silk Curtains
Electronics,329.17,Bluetooth Speaker Pro
Electronics,294.56,Smartwatch Fit+2
Books,50.9,Historical Journeys
Toys,122.39,Kids Puzzle 100pc
Home,145.64,Modern Lamp
Clothing,70.82,Hooded Sweatshirt
Clothing,97.81,Slim Fit Jeans
Books,54.3,Data Science Essentials
Books,50.63,Historical Journeys
Books,30.13,Modern Fiction Tales
Books,94.73,Modern Fiction Tales
Home,116.49,Wall Clock
Electronics,301.4,Smartwatch Fit+2
Electronics,337.14,Bluetooth Speaker Pro
Books,75.03,Historical Journeys
Home,114.51,Wooden Chair
Electronics,263.3,Smartwatch Fit+2
Electronics,364.32,Smartphone X200
Home,72.47,Wooden Chair
Electronics,482.56,4K Ultra TV
Electronics,317.05,Smartwatch Fit+2
Home,150.68,Modern Lamp
Home,101.34,Ceramic Vase
Home,155.24,Ceramic Vase
Electronics,245.36,Wireless Headphones
Books,76.09,The Art of Python
Electronics,263.2,Smartphone X200
Clothing,64.21,Summer Dress
Books,57.2,Historical Journeys
Home,87.66,Silk Curtains
Books,33.7,Historical Journeys
Home,214.54,Ceramic Vase
Home,244.87,Wooden Chair
Electronics,438.35,Smartphone X200
Clothing,55.36,Leather Jacket
Clothing,85.23,Cotton T-Shirt
Electronics,352.89,Bluetooth Speaker Pro
Toys,111.61,Plush Bear
Clothing,69.9,Leather Jacket
Books,55.76,Data Science Essentials
Home,84.61,Ceramic Vase
Books,30.0,Modern Fiction Tales
Home,156.63,Wooden Chair
Home,184.81,Wall Clock
Clothing,75.63,Slim Fit Jeans
Electronics,412.0,Bluetooth Speaker Pro
Books,38.81,Historical Journeys
Clothing,83.36,Summer Dress
Electronics,219.71,Smartphone X200
Home,61.35,Silk Curtains
Electronics,246.01,Smartphone X200
Toys,111.98,Action Hero Figure
Toys,117.51,Action Hero Figure
Toys,109.43,Building Blocks Set
Clothing,88.3,Leather Jacket
Electronics,203.71,Wireless Headphones
Toys,113.09,Building Blocks Set
Clothing,84.7,Hooded Sweatshirt
Toys,77.14,Kids Puzzle 100pc
Toys,75.71,Action Hero Figure
Books,38.61,Mystery of the Mind
Clothing,81.02,Leather Jacket
Clothing,57.2,Cotton T-Shirt
Books,56.31,Data Science Essentials
Clothing,75.05,Hooded Sweatshirt
Electronics,397.18,Bluetooth Speaker Pro
Home,80.52,Silk Curtains
Toys,126.1,Building Blocks Set
Home,104.15,Wall Clock
Home,184.11,Silk Curtains
Electronics,297.02,Wireless Headphones
Home,140.36,Wooden Chair
Toys,140.29,Plush Bear
Electronics,306.11,Smartwatch Fit+2
Home,134.47,Modern Lamp
Books,51.04,Data Science Essentials
Books,56.03,Modern Fiction Tales
Home,184.15,Wall Clock
Books,51.75,Mystery of the Mind
Clothing,55.53,Summer Dress
Clothing,88.07,Slim Fit Jeans
Books,19.99,The Art of Python
Books,51.57,Mystery of the Mind
Books,36.5,Data Science Essentials
Toys,76.33,Remote Control Car
Home,170.85,Ceramic Vase
Home,65.1,Wall Clock
Books,22.77,Data Science Essentials
Home,109.12,Modern Lamp
Books,70.75,Mystery of the Mind
Books,55.35,The Art of Python
Books,26.39,Data Science Essentials
Clothing,119.06,Summer Dress
Clothing,118.89,Cotton T-Shirt
Electronics,433.26,Bluetooth Speaker Pro
Home,230.73,Silk Curtains
Electronics,335.73,Wireless Headphones
Clothing,80.19,Hooded Sweatshirt
Home,55.9,Modern Lamp
Clothing,90.95,Cotton T-Shirt
Home,121.08,Wall Clock
Electronics,413.17,Smartwatch Fit+2
Electronics,359.8,4K Ultra TV
Books,47.05,Mystery of the Mind
Clothing,75.16,Hooded Sweatshirt
Electronics,473.09,Smartphone X200
Home,126.08,Ceramic Vase
Books,37.77,Historical Journeys
Electronics,406.79,Smartphone X200
Home,142.9,Ceramic Vase
Electronics,80.46,4K Ultra TV
Electronics,325.53,Smartwatch Fit+2
Home,181.18,Modern Lamp
Home,112.35,Wooden Chair
Home,138.25,Modern Lamp
Books,40.58,Data Science Essentials
Toys,74.22,Kids Puzzle 100pc
Home,123.57,Wall Clock
Clothing,126.68,Leather Jacket
Books,52.17,The Art of Python
Clothing,39.82,Slim Fit Jeans
Clothing,79.64,Cotton T-Shirt
Electronics,358.25,4K Ultra TV
Electronics,226.8,Wireless Headphones
Toys,124.13,Building Blocks Set
Books,45.25,Modern Fiction Tales
Home,130.88,Ceramic Vase
Clothing,100.86,Slim Fit Jeans
Electronics,377.11,Wireless Headphones
Electronics,333.18,Smartwatch Fit+2
Clothing,54.59,Slim Fit Jeans
Home,163.61,Ceramic Vase
Books,51.55,Historical Journeys
Home,170.65,Wooden Chair
Clothing,98.4,Summer Dress
Toys,72.15,Plush Bear
Books,63.44,The Art of Python
Home,137.02,Silk Curtains
Home,217.07,Wooden Chair
Clothing,73.46,Slim Fit Jeans
Electronics,253.29,Smartwatch Fit+2
Clothing,87.08,Cotton T-Shirt
Books,53.48,Historical Journeys
Electronics,168.78,4K Ultra TV
Electronics,371.39,Wireless Headphones
Electronics,214.09,Wireless Headphones
Electronics,262.72,Bluetooth Speaker Pro
Books,46.35,Mystery of the Mind
Books,40.52,Historical Journeys
Clothing,63.84,Summer Dress
Electronics,414.88,Smartwatch Fit+2
Clothing,57.27,Hooded Sweatshirt
Clothing,101.11,Slim Fit Jeans
Electronics,186.34,Smartwatch Fit+2
Clothing,35.45,Hooded Sweatshirt
Clothing,61.03,Cotton T-Shirt
Home,185.38,Modern Lamp
Home,162.08,Wooden Chair
Electronics,236.95,Smartphone X200
Clothing,108.24,Summer Dress
Home,113.36,Modern Lamp
Home,147.46,Ceramic Vase
Books,72.53,Data Science Essentials
Home,125.52,Modern Lamp
Electronics,284.9,Bluetooth Speaker Pro
Electronics,333.12,Wireless Headphones
Home,86.66,Wooden Chair
Electronics,294.98,Smartwatch Fit+2
Home,136.64,Wall Clock
Toys,88.53,Plush Bear
Home,154.92,Modern Lamp
Clothing,69.42,Slim Fit Jeans
Home,96.26,Wooden Chair
Clothing,118.95,Summer Dress
Home,197.38,Modern Lamp
Toys,30.74,Plush Bear
Clothing,76.53,Cotton T-Shirt
Toys,96.99,Plush Bear
Toys,118.7,Remote Control Car
Electronics,203.38,4K Ultra TV
Electronics,336.23,Wireless Headphones
Electronics,234.18,4K Ultra TV
Electronics,396.59,Wireless Headphones
Electronics,373.39,Wireless Headphones
Home,152.0,Wooden Chair
Electronics,345.62,Wireless Headphones
Clothing,57.13,Leather Jacket
Books,65.5,Historical Journeys
Electronics,397.25,Smartwatch Fit+2
Books,71.11,Modern Fiction Tales
Clothing,95.83,Cotton T-Shirt
Electronics,232.46,Smartwatch Fit+2
Home,127.3,Wall Clock
Home,175.5,Wooden Chair
Books,50.19,Historical Journeys
Books,29.78,Modern Fiction Tales
Books,50.86,Data Science Essentials
Clothing,101.16,Slim Fit Jeans
Electronics,281.04,Wireless Headphones
Books,59.36,Historical Journeys
Books,45.88,Mystery of the Mind
Toys,115.18,Remote Control Car
Clothing,65.46,Leather Jacket
Clothing,107.87,Hooded Sweatshirt
Books,33.91,Mystery of the Mind
Clothing,86.06,Hooded Sweatshirt
Toys,104.99,Action Hero Figure
Books,35.68,Historical Journeys
Clothing,113.66,Summer Dress
Books,45.49,Modern Fiction Tales
Books,36.0,The Art of Python
Electronics,207.37,Smartwatch Fit+2
Toys,70.3,Building Blocks Set
Home,176.48,Wall Clock
Books,40.55,Historical Journeys
Clothing,63.84,Cotton T-Shirt
Books,35.69,Historical Journeys
Clothing,78.04,Summer Dress
Electronics,493.45,Smartphone X200
Toys,64.73,Kids Puzzle 100pc
Electronics,187.07,Smartwatch Fit+2
Clothing,50.31,Hooded Sweatshirt
Toys,122.39,Remote Control Car
Toys,90.44,Action Hero Figure
Home,163.04,Silk Curtains
Home,143.93,Silk Curtains
Clothing,118.3,Cotton T-Shirt
Clothing,53.66,Leather Jacket
Clothing,48.71,Hooded Sweatshirt
Home,167.97,Wall Clock
Books,48.11,Historical Journeys
Books,36.31,Data Science Essentials
Books,48.08,Historical Journeys
Electronics,243.41,Smartphone X200
Clothing,100.75,Summer Dress
Electronics,325.26,4K Ultra TV
Home,193.18,Wooden Chair
Clothing,116.08,Leather Jacket
Books,63.45,Modern Fiction Tales
Clothing,55.05,Cotton T-Shirt
Electronics,328.78,Bluetooth Speaker Pro
Electronics,212.04,Smartphone X200
Books,69.09,Mystery of the Mind
Home,184.35,Wooden Chair
Electronics,399.95,Bluetooth Speaker Pro
Electronics,459.25,Bluetooth Speaker Pro
Books,45.63,Mystery of the Mind
Electronics,339.02,Smartwatch Fit+2
Books,64.66,Data Science Essentials
Books,55.79,The Art of Python
Electronics,283.36,Bluetooth Speaker Pro
Electronics,230.81,Smartwatch Fit+2
Toys,99.55,Remote Control Car
Clothing,71.07,Leather Jacket
Clothing,75.56,Slim Fit Jeans
Books,61.29,Historical Journeys
Toys,82.93,Action Hero Figure
Toys,107.14,Remote Control Car
Books,10.5,Data Science Essentials
Clothing,65.72,Summer Dress
Electronics,404.97,Smartphone X200
Books,16.84,Historical Journeys
Home,122.91,Modern Lamp
Clothing,76.67,Cotton T-Shirt
Toys,116.02,Kids Puzzle 100pc
Electronics,318.68,Smartphone X200
Clothing,99.38,Slim Fit Jeans
Electronics,304.44,Smartwatch Fit+2
Clothing,58.14,Slim Fit Jeans
Electronics,229.85,Smartphone X200
Electronics,325.65,4K Ultra TV
Electronics,248.11,Bluetooth Speaker Pro
Home,185.36,Wooden Chair
Books,45.45,Mystery of the Mind
Home,128.12,Wooden Chair
Toys,91.6,Remote Control Car
Clothing,94.93,Leather Jacket
Clothing,91.95,Cotton T-Shirt
Books,45.31,Historical Journeys
Electronics,184.91,Bluetooth Speaker Pro
Toys,116.33,Building Blocks Set
Electronics,413.77,Smartphone X200
